"4326","#doc=aslmusicalreact.2.txt","","","","","","","","","","","","","",""
"4327","1","Реакция","РЕАКЦИЯ","S f inan nom sg","","","я","и","ц","к","а","е","S","РЕАКЦИЯ","S f inan nom sg"
"4365","7","=","=","PUNC","","","","","","","","","PUNC","=","PUNC"
"4366","8","бо","БОЖЕ","INTJ","","","о","б","","","","","S","БО","S m anim nonflex nonflex"
"4367","9","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4368","10","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4369","11",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4370","","","","","","","","","","","","","","",""
"4371","1","Боже","БОЖЕ","INTJ","","","е","ж","о","б","","","INTJ","БОЖЕ","INTJ"
"4372","2","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4373","3","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4374","4",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4375","","","","","","","","","","","","","","",""
"4376","1","/","/","PUNC","","","","","","","","","PUNC","/","PUNC"
"4377","2","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4378","3","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4379","4","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4380","5",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4381","","","","","","","","","","","","","","",""
"4382","1",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4383","2","это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4384","3","что","ЧТО","SPRO - nom sg n -","","","о","т","ч","","","","CONJ","ЧТО","CONJ"
"4385","4",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4386","5","мюзиклы","МЮЗИКЛ","S m inan nom pl","","","ы","л","к","и","з","ю","S","МЮЗИКЛ","S m inan acc pl"
"4387","6","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4388","","","","","","","","","","","","","","",""
"4389","1","Очень","ОЧЕНЬ","ADV -","","","ь","н","е","ч","о","","ADV","ОЧЕНЬ","ADV -"
"4390","2","красивое","КРАСИВЫЙ","A - nom sg plen n -","","","е","о","в","и","с","а","A","КРАСИВЫЙ","A - nom sg plen n -"
"4391","3","платье","ПЛАТЬЕ","S n inan nom sg","","","е","ь","т","а","л","п","S","ПЛАТЬЕ","S n inan nom sg"
"4392","4","…","…","PUNC","","","","","","","","","PUNC","…","PUNC"
"4393","5","и","И","CONJ","","","и","","","","","","CONJ","И","CONJ"
"4394","6","костюм","КОСТЮМ","S m inan nom sg","","","м","ю","т","с","о","к","S","КОСТЮМ","S m inan nom sg"
"4395","7",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4396","","","","","","","","","","","","","","",""
"4397","1","Ах","АХ","INTJ","","","х","а","","","","","INTJ","АХ","INTJ"
"4398","2",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4399","3","они","ОНИ","SPRO 3p pl - - nom","","","и","н","о","","","","SPRO","ОНИ","SPRO pl - - nom"
"4400","4","…","…","PUNC","","","","","","","","","PUNC","…","PUNC"
"4401","5","ой","ОЙ","INTJ","","","й","о","","","","","INTJ","ОЙ","INTJ"
"4402","6",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4403","7","как","КАК","ADVPRO -","","","к","а","к","","","","ADV","КАК","ADV -"
"4404","8","здорово","ЗДОРОВО","ADV -","","","о","в","о","р","о","д","ADV","ЗДОРОВО","ADV -"
"4405","9","!","!","SENT","","","","","","","","","SENT","!","SENT"
"4406","","","","","","","","","","","","","","",""
"4407","1","Боже","БОЖЕ","INTJ","","","е","ж","о","б","","","INTJ","БОЖЕ","INTJ"
"4408","2","мой","МОЙ","APRO - nom sg m -","","","й","о","м","","","","A","МОЙ","A - nom sg plen m -"
"4409","3","!","!","SENT","","","","","","","","","SENT","!","SENT"
"4410","","","","","","","","","","","","","","",""
"4411","1","Это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4412","2","очень","ОЧЕНЬ","ADV -","","","ь","н","е","ч","о","","ADV","ОЧЕНЬ","ADV -"
"4413","3","…","…","PUNC","","","","","","","","","PUNC","…","PUNC"
"4414","4","красиво","КРАСИВО","ADV -","","","о","в","и","с","а","р","A","КРАСИВЫЙ","A - - sg brev n -"
"4415","5",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4416","","","","","","","","","","","","","","",""
"4417","1","Там","ТАМ","ADVPRO","","","м","а","т","","","","ADV","ТАМ","ADV -"
"4418","2","забавно","ЗАБАВНО","ADV -","","","о","н","в","а","б","а","ADV","ЗАБАВНО","ADV -"
"4419","3","люди","ЧЕЛОВЕК","S m anim nom pl","","","и","д","ю","л","","","S","ЧЕЛОВЕК","S m anim nom pl"
"4420","4","все","ВЕСЬ","APRO - nom pl - -","","","е","с","в","","","","A","ВЕСЬ","A - nom pl plen - -"
"4421","5","стоят","СТОЯТЬ","V ipf praes pl indic - 3p","","","т","я","о","т","с","","V","СТОЯТЬ","V ipf praes pl indic - 3p"
"4422","6","сзади","СЗАДИ","ADV -","","","и","д","а","з","с","","ADV","СЗАДИ","ADV -"
"4423","7","и","И","CONJ","","","и","","","","","","CONJ","И","CONJ"
"4424","8","просто","ПРОСТО","PART","","","о","т","с","о","р","п","PART","ПРОСТО","PART"
"4425","9","…","…","PUNC","","","","","","","","","PUNC","…","PUNC"
"4426","10","смотрят","СМОТРЕТЬ","V ipf praes pl indic - 3p","","","т","я","р","т","о","м","V","СМОТРЕТЬ","V ipf praes pl indic - 3p"
"4427","11","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4428","","","","","","","","","","","","","","",""
"4429","1","Ага","АГА","INTJ","","","а","г","а","","","","PART","АГА","PART"
"4430","2",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4431","3","я","Я","SPRO sg 1p - nom","","","я","","","","","","SPRO","Я","SPRO sg 1p - nom"
"4432","4","…","…","PUNC","","","","","","","","","PUNC","…","PUNC"
"4433","5","я","Я","SPRO sg 1p - nom","","","я","","","","","","SPRO","Я","SPRO sg 1p - nom"
"4434","6","теперь","ТЕПЕРЬ","ADV -","","","ь","р","е","п","е","т","ADV","ТЕПЕРЬ","ADV -"
"4435","7","умею","УМЕТЬ","V ipf praes sg indic - 1p","","","ю","е","м","у","","","V","УМЕТЬ","V ipf praes sg indic - 1p"
"4436","8","говорить","ГОВОРИТЬ","V ipf - - inf - -","","","ь","т","и","р","о","в","V","ГОВОРИТЬ","V ipf - - inf - -"
"4437","9","на","НА","PR","","","а","н","","","","","PR","НА","PR"
"4438","10","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4439","11","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4440","12",";",";","PUNC","","","","","","","","","PUNC",";","PUNC"
"4441","13","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4442","14","form","FORM","NONLEX","","","","","","","","","NONLEX","FORM","NONLEX"
"4443","15","=","=","PUNC","","","","","","","","","PUNC","=","PUNC"
"4444","16","эйэсэл","ЭЙЭСЭЛ","abbr","","","л","э","с","э","й","э","S","ЭЙЭСЭЛ","S f inan nom sg"
"4445","17","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4446","18","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4447","19",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4448","","","","","","","","","","","","","","",""
"4449","1","ASL","ASL","abbr","","","","","","","","","NONLEX","ASL","NONLEX"
"4450","2","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4451","3","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4452","4",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4453","","","","","","","","","","","","","","",""
"4454","1","/","/","PUNC","","","","","","","","","PUNC","/","PUNC"
"4455","2","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4456","3","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4457","4","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4458","5",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4459","","","","","","","","","","","","","","",""
"4460","1","Нет","НЕТ","PART","","","т","е","н","","","","PART","НЕТ","PART"
"4461","2",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4462","3","шучу","ШУТИТЬ","V ipf praes sg indic - 1p","","","у","ч","у","ш","","","V","ШУТИТЬ","V ipf praes sg indic - 1p"
"4463","4",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4464","5","не","НЕ","PART","","","е","н","","","","","PART","НЕ","PART"
"4465","6","умею","УМЕТЬ","V ipf praes sg indic - 1p","","","ю","е","м","у","","","V","УМЕТЬ","V ipf praes sg indic - 1p"
"4466","7",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4467","","","","","","","","","","","","","","",""
"4468","1","О","О","INTJ","","","о","","","","","","INTJ","О","INTJ"
"4469","2","Боже","БОЖЕ","INTJ","","","е","ж","о","б","","","S","БОЖЕ","S m anim voc sg"
"4470","3",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4471","4","они","ОНИ","SPRO 3p pl - - nom","","","и","н","о","","","","SPRO","ОНИ","SPRO pl - - nom"
"4472","5","все","ВЕСЬ","APRO - - nom pl","","","е","с","в","","","","S","ВСЕ","S - - acc pl"
"4473","6","начали","НАЧАТЬ","V pf praet pl indic - -","","","и","л","а","ч","а","н","V","НАЧАТЬ","V pf praet pl indic - -"
"4474","7","двигаться","ДВИГАТЬСЯ","V ipf - - inf - -","","","я","с","ь","т","а","г","V","ДВИГАТЬСЯ","V ipf - - inf - -"
"4475","8",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4476","","","","","","","","","","","","","","",""
"4477","1","Они","ОНИ","SPRO 3p pl - - nom","","","и","н","о","","","","SPRO","ОНИ","SPRO pl - - nom"
"4478","2","что","ЧТО","PART","","","о","т","ч","","","","CONJ","ЧТО","CONJ"
"4479","3",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4480","4","там","ТАМ"," PART","","","м","а","т","","","","ADV","ТАМ","ADV -"
"4481","5","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4482","6","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4483","7",";",";","PUNC","","","","","","","","","PUNC",";","PUNC"
"4484","8","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4485","9","form","FORM","NONLEX","","","","","","","","","NONLEX","FORM","NONLEX"
"4486","10","=","=","PUNC","","","","","","","","","PUNC","=","PUNC"
"4487","11","щас","ЩАС","ADV ","distort","","с","а","щ","","","","ADV","ЩАС","ADV -"
"4488","12","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4489","13","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4490","14",";",";","PUNC","","","","","","","","","PUNC",";","PUNC"
"4491","15","сейчас","СЕЙЧАС","ADV -","","","с","а","ч","й","е","с","ADV","СЕЙЧАС","ADV -"
"4492","16","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4493","17","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4494","18",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4495","","","","","","","","","","","","","","",""
"4496","1","/","/","PUNC","","","","","","","","","PUNC","/","PUNC"
"4497","2","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4498","3","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4499","4","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4500","5",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4501","","","","","","","","","","","","","","",""
"4502","1","сделают","СДЕЛАТЬ","V pf fut pl indic - 3p","","","т","ю","а","л","е","д","V","СДЕЛАТЬ","V pf fut pl indic - 3p"
"4503","2","большое","БОЛЬШОЙ","A - acc sg plen n -","","","е","о","ш","ь","л","о","A","БОЛЬШОЙ","A - acc sg plen n inan"
"4504","3","ш","Ш","NONLEX","слитно","","ш","","","","","","S","Ш","S - - nonflex nonflex"
"4505","4","-","-","PUNC","","","","","","","","","PUNC","-","PUNC"
"4506","5","шоу","ШОУ","S n inan 0","","","у","о","ш","","","","S","ШОУ","S n inan nonflex nonflex"
"4507","6","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4508","","","","","","","","","","","","","","",""
"4509","1","Они","ОНИ","SPRO 3p pl - - nom","","","и","н","о","","","","SPRO","ОНИ","SPRO pl - - nom"
"4510","2","делают","ДЕЛАТЬ","V ipf praes pl indic - 3p","","","т","ю","а","л","е","д","V","ДЕЛАТЬ","V ipf praes pl indic - 3p"
"4511","3","вот","ВОТ","PART","","","т","о","в","","","","PART","ВОТ","PART"
"4512","4","так","ТАК","ADVPRO -","","","к","а","т","","","","ADV","ТАК","ADV -"
"4513","5","!","!","SENT","","","","","","","","","SENT","!","SENT"
"4514","","","","","","","","","","","","","","",""
"4515","1","О","О","INTJ","","","о","","","","","","INTJ","О","INTJ"
"4516","2","Боже","БОЖЕ","INTJ","","","е","ж","о","б","","","INTJ","БОЖЕ","INTJ"
"4517","3",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4518","4","какой","КАКОЙ","APRO nom sg m -","","","й","о","к","а","к","","A","КАКОЙ","A - nom sg plen m -"
"4519","5","смешной","СМЕШНОЙ","A - nom sg plen m -","","","й","о","н","ш","е","м","A","СМЕШНОЙ","A - nom sg plen m -"
"4520","6","человек","ЧЕЛОВЕК","S m anim nom sg","","","к","е","в","о","л","е","S","ЧЕЛОВЕК","S m anim nom sg"
"4521","7","в","В","PR","","","в","","","","","","PR","В","PR"
"4522","8","шортах","ШОРТЫ","S - inan loc pl","","","х","а","т","р","о","ш","S","ШОРТЫ","S - inan loc pl"
"4523","9","!","!","SENT","","","","","","","","","SENT","!","SENT"
"4524","","","","","","","","","","","","","","",""
"4525","1","А","А","INTJ","","","а","","","","","","CONJ","А","CONJ"
"4526","2",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4527","3","то есть","то есть","ZERO","CONJ","","ь","т","с","е"," ","о","-","то есть","-"
"4528","4","они","ОНИ","SPRO 3p pl - - nom","","","и","н","о","","","","SPRO","ОНИ","SPRO pl - - nom"
"4529","5","…","…","PUNC","","","","","","","","","PUNC","…","PUNC"
"4530","6","прямо","ПРЯМО","PART","","","о","м","я","р","п","","PART","ПРЯМО","PART"
"4531","7","все","ВЕСЬ","APRO - - nom pl","","","е","с","в","","","","S","ВСЕ","S - - nom pl"
"4532","8","-","-","PUNC","","","","","","","","","PUNC","-","PUNC"
"4533","9","все","ВЕСЬ","APRO - - nom pl","","","е","с","в","","","","S","ВСЕ","S - - nom pl"
"4534","10","-","-","PUNC","","","","","","","","","PUNC","-","PUNC"
"4535","11","все","ВЕСЬ","APRO - - nom pl","","","е","с","в","","","","S","ВСЕ","S - - nom pl"
"4536","12","будут","БЫТЬ","V ipf fut pl indic - 3p","","","т","у","д","у","б","","V","БЫТЬ","V ipf praes pl indic - 3p"
"4537","13","с","С","PR","","","с","","","","","","PR","С","PR"
"4538","14","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4539","15","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4540","16",";",";","PUNC","","","","","","","","","PUNC",";","PUNC"
"4541","17","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4542","18","form","FORM","NONLEX","","","","","","","","","NONLEX","FORM","NONLEX"
"4543","19","=","=","PUNC","","","","","","","","","PUNC","=","PUNC"
"4544","20","эйэсэл","ЭЙЭСЭЛ","abbr","","","л","э","с","э","й","э","S","ЭЙЭСЭЛ","S f inan nom sg"
"4545","21","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4546","22","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4547","23",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4548","","","","","","","","","","","","","","",""
"4549","1","ASL","ASL","abbr","","","","","","","","","NONLEX","ASL","NONLEX"
"4550","2","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4551","3","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4552","4",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4553","","","","","","","","","","","","","","",""
"4554","1","/","/","PUNC","","","","","","","","","PUNC","/","PUNC"
"4555","2","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4556","3","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4557","4","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4558","5",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4559","","","","","","","","","","","","","","",""
"4560","1","Это","ЭТОТ","SPRO - nom sg n -","","","о","т","э","","","","A","ЭТОТ","A - acc sg plen n -"
"4561","2","здорово","ЗДОРОВО","ADV -","","","о","в","о","р","о","д","ADV","ЗДОРОВО","ADV -"
"4562","3",",",",","SENT","","","","","","","","","SENT",",","SENT"
"4563","","","","","","","","","","","","","","",""
"4564","1","А","А","INTJ","","","а","","","","","","CONJ","А","CONJ"
"4565","2","так","ТАК","NONLEX","слитно","","к","а","т","","","","ADV","ТАК","ADV -"
"4566","3","…","…","PUNC","","","","","","","","","PUNC","…","PUNC"
"4567","4","таких","ТАКОЙ","APRO - gen pl - -","","","х","и","к","а","т","","A","ТАКОЙ","A - gen pl plen - -"
"4568","5","много","МНОГО","ADV -","","","о","г","о","н","м","","ADV","МНОГО","ADV -"
"4569","6","мюзиклов","МЮЗИКЛ","S m inan gen pl","","","в","о","л","к","и","з","S","МЮЗИКЛ","S m inan gen pl"
"4570","7","вообще","ВООБЩЕ","ADV -","","","е","щ","б","о","о","в","ADV","ВООБЩЕ","ADV -"
"4571","8","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4572","","","","","","","","","","","","","","",""
"4573","1","Такие","ТАКОЙ","APRO - nom pl  - -","","","е","и","к","а","т","","A","ТАКОЙ","A - nom pl plen - -"
"4574","2","ещё","ЕЩЕ","ADV -","","","ё","щ","е","","","","ADV","ЕЩЕ","ADV -"
"4575","3","бывают","БЫВАТЬ","V ipf praes pl indic - 3p","","","т","ю","а","в","ы","б","V","БЫВАТЬ","V ipf praes pl indic - 3p"
"4576","4","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4577","","","","","","","","","","","","","","",""
"4578","1","А","А","INTJ","","","а","","","","","","CONJ","А","CONJ"
"4579","2","что","ЧТО","SPRO n- nom sg","","","о","т","ч","","","","CONJ","ЧТО","CONJ"
"4580","3","это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4581","4",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4582","5","это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4583","6","что","ЧТО","SPRO n - nom sg","","","о","т","ч","","","","CONJ","ЧТО","CONJ"
"4584","7",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4585","8","это","ЭТО","SPRO n - nom sg","","","о","т","э","","","","S","ЭТО","S n - nom sg"
"4586","9","Спринг","СПРИНГ","bastard","","","г","н","и","р","п","с","S","СПРИНГ","S m inan acc sg"
"4587","10","Эвейкенинг","ЭВЕЙКЕНИНГ","bastard","","","г","н","и","н","е","к","S","ЭВЕЙКЕНИНГ","S m anim nom sg"
"4588","11","какой-нибудь","КАКОЙ-НИБУДЬ","APRO - nom sg m -","","","ь","д","у","б","и","н","A","КАКОЙ-НИБУДЬ","A - nom sg plen m -"
"4589","12","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4590","","","","","","","","","","","","","","",""
"4591","1","Нет","НЕТ","PART","","","т","е","н","","","","PART","НЕТ","PART"
"4592","2","?","?","SENT","","","","","","","","","SENT","?","SENT"
"4593","","","","","","","","","","","","","","",""
"4594","1","Оу","ОУ","INTJ","","","у","о","","","","","NONLEX","ОУ","NONLEX"
"4595","2","…","…","SENT","","","","","","","","","SENT","…","SENT"
"4596","","","","","","","","","","","","","","",""
"4597","1","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4598","2","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4599","3",";",";","PUNC","","","","","","","","","PUNC",";","PUNC"
"4600","4","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4601","5","form","FORM","NONLEX","","","","","","","","","NONLEX","FORM","NONLEX"
"4602","6","=","=","PUNC","","","","","","","","","PUNC","=","PUNC"
"4603","7","ккие","ККИЕ","APRO - nom pl","distort","","е","и","к","к","","","S","ККИЕ","S - inan acc pl"
"4604","8","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4605","9","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4606","10",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4607","","","","","","","","","","","","","","",""
"4608","1","Какие","КАКОЙ","APRO - nom pl - -","","","е","и","к","а","к","","A","КАКОЙ","A - nom pl plen - -"
"4609","2","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4610","3","lt","LT","NONLEX","","","","","","","","","NONLEX","LT","NONLEX"
"4611","4",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4612","","","","","","","","","","","","","","",""
"4613","1","/","/","PUNC","","","","","","","","","PUNC","/","PUNC"
"4614","2","distinct","DISTINCT","NONLEX","","","","","","","","","NONLEX","DISTINCT","NONLEX"
"4615","3","&","&","PUNC","","","","","","","","","PUNC","&","PUNC"
"4616","4","gt","GT","NONLEX","","","","","","","","","NONLEX","GT","NONLEX"
"4617","5",";",";","SENT","","","","","","","","","SENT",";","SENT"
"4618","","","","","","","","","","","","","","",""
"4619","1","у","У","PR","","","у","","","","","","PR","У","PR"
"4620","2","них","ОНИ","SPRO 3p pl - - loc","","","х","и","н","","","","SPRO","ОНИ","SPRO pl - - loc"
"4621","3","забавные","ЗАБАВНЫЙ","A - nom pl plen ","","","е","ы","н","в","а","б","A","ЗАБАВНЫЙ","A - acc pl plen - inan"
"4622","4","костюмы","КОСТЮМ","S m inan nom pl","","","ы","м","ю","т","с","о","S","КОСТЮМ","S m inan acc pl"
"4623","5","!","!","SENT","","","","","","","","","SENT","!","SENT"
"4624","","","","","","","","","","","","","","",""
"4625","1","Почему","ПОЧЕМУ","ADVPRO","","","у","м","е","ч","о","п","ADV","ПОЧЕМУ","ADV -"
"4626","2","только","ТОЛЬКО","PART","","","о","к","ь","л","о","т","PART","ТОЛЬКО","PART"
"4627","3","один","ОДИН","ANUM - nom sg m -","","","н","и","д","о","","","A","ОДИН","A - nom sg plen m -"
"4628","4","человек","ЧЕЛОВЕК","S m anim nom sg","","","к","е","в","о","л","е","S","ЧЕЛОВЕК","S m anim nom sg"
"4629","5","в","В","PR","","","в","","","","","","PR","В","PR"
"4630","6","шортах","ШОРТЫ","S - inan loc pl","","","х","а","т","р","о","ш","S","ШОРТЫ","S - inan loc pl"
"4631","7",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4632","8","а","А","CONJ","","","а","","","","","","CONJ","А","CONJ"
"4633","9","все","ВЕСЬ","APRO - - nom pl","","","е","с","в","","","","S","ВСЕ","S - - acc pl"
"4634","10","остальные","ОСТАЛЬНОЙ","A - nom pl plen - -","","","е","ы","н","ь","л","а","A","ОСТАЛЬНОЙ","A - nom pl plen - -"
"4635","11","н","Н","NONLEX","","","н","","","","","","S","Н","S - - nonflex nonflex"
"4636","12","—","—","PUNC","","","","","","","","","PUNC","—","PUNC"
"4637","13","а","А","INTJ","","","а","","","","","","CONJ","А","CONJ"
"4638","14","нет","НЕТ","PART","","","т","е","н","","","","PART","НЕТ","PART"
"4639","15",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
"4640","16","всё","ВСЕ","SPRO n - nom sg","","","ё","с","в","","","","S","ВСЕ","S n - nom sg"
"4641","17",",",",","PUNC","","","","","","","","","PUNC",",","PUNC"
